Date,Close,Volume,MOM (1),MOM (3),ADX (14),ADX (20),WILLR,RSI (6),RSI (12),MACD,MACD (Signal),MACD (Historical),EMA (6),EMA (12),Conf. Time,Block Size,TXN Cost,Difficulty,TXNs per Day,Hash Rate (GH/s),Market Cap,Miners Revenue,TXNs per Block,Unique Addresses,Total BTC,TXN Fees,Trend
2014-02-23,610.09,12931776.2281,-0.7899999999999636,48.23000000000002,51.73804218043613,36.699297052940224,-57.847368421052614,43.53664969988012,38.530100246641695,-46.794226352907,-44.435819201727654,-2.3584071511793496,607.7092841766541,627.8899428446291,7.1,0.183935097286,48.7566170351,3129573174.52,58632.0,28314.0905923,7794323689.0,2858697.97,381.0,142019.0,12435700.0,7384.32109694,-1.0
2014-02-22,610.88,10727909.8732,29.529999999999973,-12.129999999999995,51.79009751958294,36.119992360280825,-64.12030875698696,43.80284783698848,38.64418251795869,-48.72540664423195,-43.84621741393282,-4.879189230299133,606.7569978473158,631.1262960891071,8.21666666667,0.19174799686500002,41.6070389171,3129573174.52,59691.0,25513.7959183,7508165977.0,2483565.76,392.0,132542.0,12431150.0,7591.29128538,-1.0
2014-02-21,581.35,16665769.5684,19.49000000000001,-46.35000000000002,50.971211510410534,35.11776563628743,-77.22029988465974,30.581326633598287,31.716613403162995,-50.56199811942497,-42.62642010635803,-7.935578013066937,605.1077969862421,634.8074408325812,7.95,0.23306880110800002,32.4540998191,3129573174.52,73513.0,26136.083623599996,7035698628.0,2385798.24,395.0,165370.0,12427050.0,8321.40216301,1.0
2014-02-20,561.86,20678092.1173,-61.14999999999998,-71.79999999999995,48.9634397691209,33.57196325601223,-86.52569253541975,20.263412503980405,26.710177978788863,-49.16401853875254,-40.6425256030913,-8.521492935661243,614.6109157807389,644.5269755294141,8.416666666669999,0.22811310193700002,34.8728867245,3129573174.52,71666.0,26602.799402599998,7238794695.0,2499200.3,494.0,159962.0,12422850.0,8695.86785459,1.0
2014-02-19,623.01,6976436.521039999,-4.690000000000055,2.009999999999991,46.96232397530696,32.05802287312724,-65.93040293040293,33.143428738160814,33.847519431588616,-44.68013887703967,-38.51215236917599,-6.167986507863674,635.7112820930345,659.5573347165804,7.06666666667,0.191648323498,45.0238404847,3129573174.52,66351.0,29714.237929299998,7748321499.75,2987376.84,376.0,142987.0,12418575.0,8509.27307278,-1.0
2014-02-18,627.7,9305110.20454,-5.959999999999923,-28.129999999999995,45.15775997589572,30.695754005791322,-65.10714285714285,34.546915221666346,34.49557295379071,-44.53336681606015,-36.970155742210075,-7.563211073850077,640.7917949302482,666.2023046650495,8.4,0.225040527161,38.514440021700004,3129573174.52,68333.0,25980.5116973,7780597426.0,2631807.23,322.0,163002.0,12413800.0,15249.648506900001,-1.0
2014-02-17,633.66,12681178.7504,12.659999999999968,-35.34000000000003,43.21438336114516,29.26178677701667,-63.36843593186799,36.16886675350571,35.28248844191395,-44.175801504540004,-35.079352973747554,-9.09644853079245,646.0285129023475,673.2027236950585,8.25,0.171540978443,46.7796004832,3129573174.52,57119.0,25824.939771,7966979250.0,2672004.0,363.0,114626.0,12409625.0,7949.77070964,-1.0
2014-02-16,621.0,16510289.0302,-34.83000000000004,16.889999999999986,41.12157991693383,27.752389151899905,-68.0701754385965,30.383266264600667,32.274212437772235,-43.683697394133674,-32.80524084104944,-10.878456553084234,650.9759180632866,680.3923098214327,6.55,0.14217381156199999,53.0993396143,2621404453.06,56785.0,25149.9693788,7734813662.5,3015246.0,437.0,110198.0,12405475.0,6937.40572691,1.0
2014-02-15,655.83,13502488.227,-13.169999999999959,3.840000000000032,38.867791592398554,26.16354954651384,-57.376105145489646,38.35323019884133,36.56002933763997,-41.13117618566389,-30.085626702778377,-11.045549482885512,662.9662852886013,691.1909116071478,7.43333333333,0.190645366245,45.8586185596,2621404453.06,64107.0,23455.929990599998,8078031423.0,2939858.46,419.0,127810.0,12400650.0,8955.02106923,-1.0
2014-02-14,669.0,42633219.9881,64.88999999999999,-6.100000000000023,36.67615781154821,24.64717447504458,-53.258457192817275,41.80898200908529,38.32400499409652,-40.821286553243795,-27.324239332056997,-13.497047221186797,665.8207994040417,697.6201682629928,6.63333333333,0.215129887246,42.0128254631,2621404453.06,76660.0,24889.3479345,8331452415.0,3220703.2,347.0,148377.0,12396150.0,11534.9345983,-1.0
